age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,random_id
21.04899381064553,Female,0.0,0.0290564527217793,4.799805581712784,No,86.15349993571378,7.294122792755106,Fair,6.517918199530201, Master ,Good,11.789344862338195,Yes,59.19707498442855,9342
20.508308184013487,Female,4.1,3.5399302910757457,3.400654666747559,No,83.97900932578416,1.711612420026555,Good,4.408856411018795, High School ,Average,5.43258224651839, No ,98.71831912081804,5360
20.508308184013487,Male,4.1,10.270434297847784,1.780307416893359,No,92.81306462332174,0.2453070425737236,Poor,0.0,unknown, Poor ,-3.244016924,No,33.361684008150064,9117
25.3505573380238,Unknown,10.0,0.8168277156760557,5.861445725441236, No ,70.6890325749431,4.632657480507504, Poor ,0.5818506435585582, Master ,Good,5.0006878604708,Yes,27.83087848100361,2436
17.937753615063382,Unknown,10.0,5.320886368279911,0.0,No,83.97900932578416,5.4664425896840125,Fair,5.1486222117612215,Master,Good,2.408724568990426,No,60.68641844260631,7714
23.193687043559795,Male,7.2,0.762741643621653,4.156124163176062,No,82.21234703205609,6.107519738616999,Fair,0.0,Master, Average ,4.610437500443726,No,100.0,1863
22.062970483205333,Unknown,5.6,0.0,0.0,Yes,83.97900932578416,0.0, Good ,0.0,Master,Poor,2.176011835493848,No,93.53752875032704,4953
20.508308184013487,Unknown,4.3,0.0,3.373846527289507,Yes,76.04192555555387,3.109453671639383, Fair ,3.065107717864572,Bachelor, Average ,4.307424629547445, No ,100.0,2313
20.508308184013487,Unknown,4.1,3.663144065775981,6.903433808578589,No,99.32621751566391,4.4,Good,4.314661539670141,unknown,Good,5.322320717344688,No,80.29714769153955,5120
23.66907496677596,Female,4.8,5.199886985042969,0.0, No ,96.74247428206628,7.054294851537139,Good,2.0723267230275515,Bachelor,Good,11.48181720921737, Yes ,100.0,2126
20.60418456826636,Female,4.6,3.5394712428351296,2.8350555912310758, No ,72.17033462659892,9.90300996691022,Fair,0.0,unknown, Good ,2.318726170302264,No,60.37042324362844,4464
26.73314191679879,Unknown,10.0,1.6486373203540392,2.76402809864291,No,73.50304013690786,5.108771078138422,Fair,5.497982698172246, Bachelor ,Average,0.2043724865519378,No,67.94538392584553,6424
23.00990646532071,Unknown,10.0,0.5036184764667906,1.3779619928402052, Yes ,84.22204694186543,6.821476325366499, Fair ,0.0,Bachelor,Good,15.218070059089962,No,77.83962562011948,2244
21.42626460965747,Unknown,3.4,3.336095819803111,1.9379201685990424, No ,81.76671180533474,5.837611599110195,Fair,4.582113968690121, Bachelor ,Good,6.513307302292917,No,74.66628363483639,2718
29.34789989952505,Male,2.4,0.0,0.1554814503967243,No,83.97900932578416,6.107519738616999,unknown,3.065107717864572,Bachelor,Average,5.322320717344688, No ,71.70785867086849,3043
17.668027745712948,Male,4.1,2.99067279417862,0.0,No,96.72349687995369,4.921671426173684, Good ,0.0,High School,Average,14.16623044020739,No,70.95507603392856,4600
20.508308184013487,Male,1.0,5.010053841702423,0.0,No,91.7880465605955,3.726732301374966, Poor ,7.471578780296429,High School,Good,5.322320717344688,Yes,57.869961200889016,3090
20.508308184013487,Female,10.0,1.975903933141275,1.9379201685990424,No,91.17725024415762,6.107519738616999, Poor ,0.0,unknown,Average,5.611284180872676,Yes,63.861338462184136,9370
20.209049401562083,Unknown,10.0,7.30959515403735,2.770165294270055,Yes,89.17993726367348,7.13268002999054, Good ,2.6638530196621164,High School,Good,8.186689756184975,No,43.97695398291848,5379
20.861214362196883,Male,1.8,0.0,0.0,No,69.07287754637717,5.218017583645722,Fair,6.857610919790508,High School,Good,2.586585044771395, No ,43.48461380108775,3488
22.92288350980726,Unknown,3.8,0.7890195164227123,1.3456110439392903,No,78.61961081418607,5.815014424103588,Good,6.720370843607194, Master , Good ,5.322320717344688, No ,58.63461279140007,8961
17.764851746092248,Unknown,4.1,3.0730961349860824,1.9379201685990424,No,98.56681285185309,6.107519738616999, Fair ,3.3157212596168124,High School,Good,6.722181837187224,No,83.38440123990766,5942
19.31671303527335,Unknown,7.883240848122128,0.0,1.9379201685990424,No,83.0977244402753,4.9,Fair,0.0,High School,Average,1.6868324178280174,No,99.18524425654542,4277
24.238105597192323,Unknown,11.027600355697434,2.0107631358744102,1.7647923395029426,Yes,91.82110397881036,6.107519738616999,Fair,1.900197501477587,Bachelor,Good,-1.773977192,No,100.0,8818
20.508308184013487,Male,4.1,3.924316901596124,4.604513225231505,No,72.12606081856917,12.588352554689171,Fair,0.0,High School,Average,5.3877635857461375,Yes,73.27402421523172,9479
17.757678675000502,Unknown,10.0,2.5627202435686374,0.0,No,80.37965664316344,2.489870003555824,Good,5.739004820034423,Bachelor, Poor ,1.30903162087949,No,73.92445159672218,6607
16.53310628545877,Male,3.2,4.7557723192554135,0.0,No,85.74859320307347,6.107519738616999,Fair,9.567546324554916,Bachelor, Average ,2.8434884380724523,No,75.09985008938521,6156
23.467832303322236,Unknown,10.0,0.2207602010965412,1.9379201685990424,Yes,79.10451695560148,6.107519738616999,Good,2.6185582562074954,unknown,Poor,2.5669942511642785,No,86.37744721285428,3620
16.009441519179912,Unknown,11.722091892939128,0.0,5.041564276198349,Yes,80.80174726777234,2.0,Poor,2.7477500946924183,High School,Good,5.322320717344688,Yes,75.205729344839,7263
20.397947715786188,Female,3.7,3.2054977968961578,1.9379201685990424,No,81.94859212681288,9.64280348920484,Fair,0.0935560564147315,Master, Average ,7.191582114393896,No,68.77922807369764,7278
22.193179528961785,Unknown,1.5,5.956867125080107,0.0, Yes ,93.44701129440908,9.869297192680667,unknown,2.720491427242789,Bachelor, Average ,1.3693118936492892,Yes,41.342188436590014,3156
11.785092257904594,Female,4.0,3.5893305233563857,4.321248902356717,No,83.97900932578416,7.723104965569025, Poor ,2.1104628690894467,unknown,Average,8.161980024116543,No,66.50507615182289,8957
20.39118937554395,Unknown,4.1,4.167133740590025,0.0,No,98.57482910533528,6.107519738616999,Fair,0.0,unknown,Good,5.322320717344688,No,46.01855118833506,1791
22.507450869627096,Unknown,4.2,5.644100978799237,2.2587381912959383, Yes ,88.11762203386425,10.714758264870255, Good ,0.0,Bachelor,Average,-0.09193265,No,76.12387508768006,3431
20.508308184013487,Female,3.5,11.308989008698182,0.381545581678163, No ,73.67424932471063,3.1590006001087385, Fair ,2.194116991529484, High School ,Good,6.005685402802705, No ,67.19381665289174,8932
16.38105693641052,Male,10.0,4.619911511160166,1.9379201685990424,No,68.66576282373715,7.051691757361406,unknown,0.2135583878331124, High School ,Average,3.131576715047532,No,81.48650847133636,8273
